"","screenName","text","retweetCount","score","absolute_score","lon","lat"
"1","__chocolateriss","RT @ARTISTstacy: Try un-seeing THIS one! 
@realDonaldTrump ,#DumpTrump,#STopTrump,#NeverTrump,#notmypresidenttrump , #TrumpPence16 , #Trump…",85,1,1,-97.7430608,30.267153
"2","_gammaburst","RT @Ivanroberson: This from ""@SpryGuy: In case you haven't connected the dots just yet... read this:
#NeverTrump #Treason https://t.co/EuSW…",7,-1,1,-122.4194155,37.7749295
"3","_gammaburst","RT @SpryGuy: In case you haven't connected the dots just yet... read this:
#NeverTrump #Treason https://t.co/A1JHxAWhGf",87,-1,1,-122.4194155,37.7749295
"4","_Girl_News","#NeverTrump presidential candidate Evan McMullin goes off on Trump: ‘Not a loyal American’ https://t.co/D5ZR9etFDR https://t.co/k3QXBTaKwP",1,2,2,-95.712891,37.09024
"5","_Jay_King","RT @IngrahamAngle: Always remember that the #NeverTrump folks were willing to lose the Court for generations to satisfy their ideological p…",1432,1,1,-81.655651,30.3321838
"6","_Political_News","#NeverTrump presidential candidate Evan McMullin goes off on Trump: ‘Not a loyal American’ https://t.co/azums9IJyg https://t.co/onOOOhydbi",1,2,2,-99.9018131,31.9685988
"7","_SioRing","Thank you @PattyMurray. Please stay strong.  #nevertrump https://t.co/WLiVfiqxbJ",0,2,2,-122.3320708,47.6062095
"8","1_Hoof_Hearted","RT @CCCINNC: @VivaLaAmes 
#NeverTrump is so upset about #Trump not choosing @MittRomney that they have now joined together with @POTUS to t…",5,0,0,-110.926479,32.2217429
"9","1rantingrooster","Hillary doesn't have the integrity to be honest with the American people. #NeverHillary #NeverTrump",5,1,1,-96.7969879,32.7766642
"10","1RGMartin","RT @SpryGuy: In case you haven't connected the dots just yet... read this:
#NeverTrump #Treason https://t.co/A1JHxAWhGf",87,-1,1,-120.5542012,43.8041334
"11","22JHNative","Scotland gets it. Though gives a negative aspect to word, Cunt. Trump is more horrid. A bloated scrotal sack, perha… https://t.co/gQgAMXZ5Gu",0,-4,4,-114.7420408,44.0682019
